lat,lon
52.313755,5.025133
52.31383,5.024618
52.313753,5.026121
52.313482,5.027397
52.314065,5.027395
52.314073,5.027267
52.313746,5.027078
52.313833,5.027083
52.311167,5.0222
52.311427,5.022274
52.312328,5.022111
52.312074,5.022032
52.313757,5.022071
52.313595,5.021929
52.313636,5.021874
52.312918,5.021881
52.31314,5.021963
52.310235,5.026069
52.310239,5.026026
52.310733,5.027385
52.31073,5.027265
52.311767,5.027388
52.311307,5.027267
52.311303,5.027387
52.319013,5.029203
52.318442,5.028529
52.315041,5.027281
52.31504,5.027398
52.315876,5.027405
52.315877,5.027287
52.317648,5.027701
52.316811,5.027441
52.316821,5.027323
52.363216,4.930457
52.362241,4.930536
52.362402,4.930521
52.362564,4.930443
52.362523,4.930468
52.362539,4.93051
52.362991,4.93047
52.36271,4.930497
52.362795,4.930366
52.362849,4.930484
52.361568,4.930443
52.362029,4.93052
52.362045,4.930429
52.361879,4.930512
52.36174,4.930484
52.366465,4.924111
52.365239,4.925678
52.36504,4.925254
52.364857,4.924882
52.364644,4.924535
52.364431,4.924204
52.364249,4.92388
52.364067,4.923583
52.368433,4.934031
52.368548,4.934333
52.369997,4.929187
52.369136,4.92779
52.336693,4.928564
52.345295,4.932852
52.346157,4.931624
52.346135,4.931503
52.345909,4.914523
52.353655,4.912998
52.353598,4.913219
52.351036,4.90336
52.351189,4.90341
52.351181,4.903477
52.352752,4.902861
52.352611,4.902812
52.351586,4.90315
52.351581,4.903346
52.351637,4.903313
52.351625,4.903351
52.352299,4.903024
52.35228,4.903094
52.352262,4.903047
52.351856,4.903244
52.351886,4.903199
52.351985,4.903316
52.351993,4.903162
52.35202,4.903148
52.352015,4.90298
52.352112,4.903034
52.352088,4.902951
52.350376,4.903605
52.35057,4.903718
52.350534,4.903709
52.349494,4.904131
52.34993,4.903954
52.349757,4.903839
52.349769,4.903748
52.360035,4.902654
52.360217,4.902972
52.360251,4.903238
52.360178,4.903368
52.360727,4.906171
52.360839,4.906732
52.360469,4.904875
52.360589,4.905498
52.364425,4.917743
52.36382,4.918572
52.363858,4.918799
52.364193,4.918411
52.364063,4.918294
52.365515,4.914551
52.366184,4.911657
52.366257,4.911535
52.365241,4.910751
52.365848,4.911157
52.365928,4.911391
52.365494,4.910826
52.365588,4.911068
52.365609,4.911129
52.364692,4.91067
52.364993,4.910518
52.364878,4.910699
52.363842,4.910584
52.363817,4.910761
52.363765,4.910896
52.364006,4.910818
52.364244,4.910991
52.364123,4.91101
52.364158,4.911122
52.36436,4.910826
52.364502,4.91088
52.362846,4.910711
52.363113,4.910585
52.363317,4.910751
52.363517,4.910658
52.363427,4.910836
52.363449,4.91074
52.363475,4.9108
52.368802,4.910804
52.368893,4.910995
52.368825,4.911059
52.368554,4.911846
52.36872,4.911365
52.368639,4.9116
52.368452,4.912142
52.368357,4.912418
52.368271,4.912666
52.367107,4.912506
52.366962,4.912369
52.366597,4.912034
52.366774,4.912196
52.367358,4.912552
52.367372,4.912754
52.367583,4.912952
52.367769,4.913124
52.368103,4.913153
52.367956,4.91311
52.36134,4.915239
52.357922,4.917547
52.358126,4.912485
52.358217,4.912841
52.358028,4.912104
52.357847,4.911381
52.357939,4.911739
52.358577,4.914267
52.358698,4.914734
52.357211,4.908889
52.356677,4.906875
52.356344,4.906711
52.356462,4.907053
52.356288,4.907123
52.358369,4.799754
52.358515,4.800663
52.358398,4.800715
52.358407,4.800615
52.358973,4.797746
52.35974,4.797361
52.359433,4.797501
52.359283,4.797604
52.360054,4.79553
52.360022,4.796175
52.360051,4.796155
52.360004,4.796287
52.360036,4.796257
52.351674,4.856912
52.352218,4.85956
52.352287,4.859498
52.352013,4.858643
52.352112,4.858641
52.35208,4.858583
52.351798,4.857822
52.351875,4.85776
52.352539,4.860625
52.352658,4.860628
52.352606,4.860552
52.353831,4.86556
52.353898,4.865502
52.352763,4.861561
52.352828,4.861498
52.353671,4.864688
52.352991,4.862345
52.353052,4.862265
52.353544,4.863906
52.352234,4.86382
52.351944,4.864023
52.353257,4.863005
52.352384,4.864495
52.352716,4.864262
52.352923,4.863944
52.352802,4.863554
52.353045,4.863529
52.353107,4.863682
52.347409,4.857837
52.345803,4.857907
52.346961,4.857857
52.346724,4.857869
52.346513,4.857875
52.346056,4.857899
52.346278,4.857893
52.349068,4.857725
52.34862,4.857766
52.345542,4.859257
52.345579,4.859097
52.345865,4.859629
52.345816,4.859368
52.346449,4.860296
52.346506,4.860155
52.346232,4.859843
52.346177,4.859988
52.345743,4.861438
52.34564,4.860793
52.34967,4.858383
52.349374,4.858795
52.349056,4.859263
52.349218,4.858893
52.34921,4.858944
52.349219,4.859378
52.349179,4.859177
52.349223,4.859159
52.348689,4.86038
52.348893,4.859943
52.348935,4.859783
52.348907,4.859822
52.348759,4.85979
52.348784,4.859935
52.34706,4.86092
52.34709,4.86083
52.349322,4.863251
52.349013,4.862837
52.349055,4.863073
52.345972,4.863255
52.345864,4.863296
52.345784,4.862698
52.345874,4.86253
52.347537,4.861304
52.347505,4.861397
52.348352,4.861172
52.348293,4.861119
52.347682,4.862697
52.347796,4.862555
52.347793,4.862626
52.348586,4.862541
52.348497,4.862319
52.348151,4.862099
52.348237,4.862042
52.347905,4.862084
52.348101,4.861633
52.347852,4.861781
52.347912,4.861673
52.347873,4.861614
52.347197,4.863892
52.347352,4.863749
52.347506,4.863328
52.34737,4.863456
52.345976,4.864205
52.346075,4.863961
52.34682,4.865049
52.34703,4.864514
52.346929,4.864601
52.346895,4.864615
52.346304,4.86538
52.346461,4.865665
52.346547,4.865447
52.346656,4.865452
52.346173,4.86468
52.346102,4.865056
52.361022,4.865325
52.360547,4.865468
52.363834,4.858361
52.364082,4.857974
52.364582,4.862021
52.364729,4.86282
52.364695,4.862416
52.364343,4.860957
52.364364,4.860988
52.364425,4.860465
52.364428,4.860396
52.358132,4.807115
52.358411,4.807714
52.358259,4.807732
52.360402,4.80648
52.360281,4.805891
52.358772,4.803544
52.359292,4.803085
52.35933,4.803347
52.359602,4.803034
52.359596,4.803351
52.359637,4.803332
52.359904,4.803316
52.359816,4.803797
52.359808,4.803618
52.352146,4.81042
52.35161,4.810837
52.354591,4.812115
52.354888,4.813664
52.382971,4.821928
52.382871,4.823935
52.38291,4.823545
52.38852,4.841372
52.388516,4.840892
52.388513,4.840538
52.388512,4.840372
52.381986,4.838825
52.382147,4.837798
52.382143,4.838332
52.382068,4.838301
52.341757,4.950128
52.341859,4.950044
52.34182,4.9501
52.368597,4.938616
52.368572,4.938429
52.368662,4.93844
52.368224,4.953224
52.368174,4.951576
52.368154,4.952067
52.368092,4.952335
52.368439,4.95037
52.368231,4.950819
52.368586,4.948022
52.368648,4.947509
52.368563,4.949521
52.36866,4.948872
52.385631,4.798705
52.390515,4.801165
52.390512,4.796184
52.390301,4.796616
52.390302,4.799111
52.390513,4.79863
52.390305,4.806496
52.390305,4.809273
52.390515,4.808801
52.383402,4.82111
52.383406,4.820139
52.383405,4.820601
52.375844,4.812223
52.376129,4.812297
52.375163,4.812169
52.374806,4.81207
52.344945,4.876987
52.344965,4.877487
52.347413,4.880297
52.347192,4.879856
52.34703,4.880275
52.347022,4.880096
52.346429,4.881142
52.346224,4.88114
52.346785,4.880599
52.346558,4.880724
52.34587,4.881885
52.345639,4.882161
52.345658,4.881913
52.345367,4.882521
52.345345,4.88233
52.345175,4.882777
52.345024,4.88276
52.344508,4.884561
52.344622,4.884572
52.344727,4.883306
52.344843,4.883319
52.344565,4.883985
52.344695,4.883845
52.350809,4.879001
52.351078,4.878856
52.351044,4.879114
52.351269,4.879221
52.351355,4.878989
52.346952,4.87653
52.347282,4.877014
52.348164,4.87715
52.348251,4.877006
52.347658,4.876911
52.34757,4.877061
52.347861,4.877104
52.347957,4.876962
52.348884,4.877096
52.348571,4.877047
52.349077,4.877902
52.348986,4.877729
52.35021,4.878381
52.350147,4.878526
52.349986,4.878137
52.349913,4.878268
52.349317,4.877353
52.349468,4.877521
52.349457,4.877748
52.349716,4.878052
52.349666,4.877728
52.369328,4.877484
52.369613,4.877283
52.365961,4.87756
52.367174,4.879286
52.366331,4.879636
52.366737,4.879432
52.366581,4.879708
52.366553,4.879508
52.365839,4.879817
52.365965,4.879958
52.365655,4.880068
52.365456,4.880153
52.362991,4.880435
52.363134,4.880677
52.35589,4.878964
52.356231,4.879765
52.356104,4.879555
52.362435,4.883825
52.362476,4.884003
52.362179,4.884629
52.362045,4.884655
52.357618,4.876766
52.357683,4.876695
52.35787,4.87863
52.357843,4.877294
52.358098,4.878194
52.357856,4.877651
52.35793,4.877991
52.357975,4.87778
52.358405,4.879093
52.358182,4.879017
52.359102,4.881786
52.358899,4.8817
52.358928,4.881139
52.358718,4.881021
52.358567,4.879787
52.358356,4.879673
52.358751,4.880476
52.35852,4.880282
52.359303,4.882539
52.359763,4.883429
52.359478,4.883194
52.361274,4.882601
52.3611,4.882731
52.360177,4.883102
52.360157,4.883153
52.360419,4.883219
52.360725,4.882999
